yearMonth,species,monthlyCases
"""2022-10""","""Egretta garzetta""",28
"""2022-10""","""Phasianus colchicus""",22
"""2022-10""","""Larus argentatus""",12
"""2022-10""","""Morus bassanus""",6
"""2022-10""","""Mephitis mephitis""",6
"""2022-10""","""Anser sp.""",5
"""2022-10""","""Morus capensis""",5
"""2022-10""","""Corvus corone""",4
"""2022-10""","""Numenius arquata""",4
"""2022-10""","""Branta leucopsis""",4
"""2022-10""","""Columba livia""",4
"""2022-10""","""Accipiter nisus""",3
"""2022-10""","""Falco tinnunculus""",3
"""2022-10""","""Mareca penelope""",3
"""2022-10""","""Falco rusticolus""",2
"""2022-10""","""Alectoris rufa""",2
"""2022-10""","""Anser albifrons""",2
"""2022-10""","""Corvus corax""",2
"""2022-10""","""Spatula discors""",1
"""2022-10""","""Corvus frugilegus""",1
"""2022-10""","""Strix aluco""",1
"""2022-10""","""Milvus milvus""",1
"""2022-10""","""Larus fuscus graellsii""",1
"""2022-10""","""Pandion haliaetus""",1
"""2022-10""","""Bos taurus""",1
"""2022-10""","""Ciconia ciconia""",1
"""2022-10""","""Ursus arctos""",1
