yearMonth,country,species,class,monthlyCases
"""2005-7""","""TH""","""Homo sapiens""","""Mammalia""",201
"""2005-7""","""UY""","""Homo sapiens""","""Mammalia""",156
"""2005-7""","""MG""","""Homo sapiens""","""Mammalia""",66
"""2005-7""","""BR""","""Homo sapiens""","""Mammalia""",48
"""2005-7""","""JP""","""Homo sapiens""","""Mammalia""",44
"""2005-7""","""NZ""","""Homo sapiens""","""Mammalia""",42
"""2005-7""","""PE""","""Homo sapiens""","""Mammalia""",28
"""2005-7""","""PH""","""Homo sapiens""","""Mammalia""",20
"""2005-7""","""PY""","""Homo sapiens""","""Mammalia""",16
"""2005-7""","""CO""","""Homo sapiens""","""Mammalia""",14
"""2005-7""","""IL""","""Homo sapiens""","""Mammalia""",3
"""2005-7""","""VE""","""Homo sapiens""","""Mammalia""",2
"""2005-4""","""GR""","""Aves""","""Aves""",0
"""2005-7""","""RU""","""Aves""","""Aves""",3628
"""2005-8""","""CN""","""Homo sapiens""","""Mammalia""",1080
"""2005-8""","""AU""","""Homo sapiens""","""Mammalia""",1046
"""2005-8""","""AR""","""Homo sapiens""","""Mammalia""",242
"""2005-8""","""TH""","""Homo sapiens""","""Mammalia""",165
"""2005-8""","""IT""","""Homo sapiens""","""Mammalia""",121
"""2005-8""","""PE""","""Homo sapiens""","""Mammalia""",116
"""2005-8""","""ZA""","""Homo sapiens""","""Mammalia""",111
"""2005-8""","""CL""","""Homo sapiens""","""Mammalia""",110
"""2005-8""","""UY""","""Homo sapiens""","""Mammalia""",102
"""2005-8""","""NZ""","""Homo sapiens""","""Mammalia""",48
"""2005-8""","""BR""","""Homo sapiens""","""Mammalia""",36
"""2005-8""","""JP""","""Homo sapiens""","""Mammalia""",32
"""2005-8""","""MG""","""Homo sapiens""","""Mammalia""",27
"""2005-8""","""CR""","""Homo sapiens""","""Mammalia""",6
"""2005-8""","""CO""","""Homo sapiens""","""Mammalia""",6
"""2005-8""","""VE""","""Homo sapiens""","""Mammalia""",6
"""2005-8""","""MX""","""Homo sapiens""","""Mammalia""",4
"""2005-8""","""PH""","""Homo sapiens""","""Mammalia""",2
"""2005-9""","""CN""","""Homo sapiens""","""Mammalia""",765
"""2005-9""","""AU""","""Homo sapiens""","""Mammalia""",256
"""2005-9""","""TH""","""Homo sapiens""","""Mammalia""",162
"""2005-9""","""AR""","""Homo sapiens""","""Mammalia""",128
"""2005-9""","""IT""","""Homo sapiens""","""Mammalia""",64
"""2005-9""","""NZ""","""Homo sapiens""","""Mammalia""",48
"""2005-7""","""KZ""","""Aves""","""Aves""",0
"""2005-9""","""JP""","""Homo sapiens""","""Mammalia""",24
"""2005-9""","""BR""","""Homo sapiens""","""Mammalia""",18
"""2005-9""","""PE""","""Homo sapiens""","""Mammalia""",16
"""2005-9""","""CO""","""Homo sapiens""","""Mammalia""",14
"""2005-9""","""CL""","""Homo sapiens""","""Mammalia""",14
"""2005-9""","""UY""","""Homo sapiens""","""Mammalia""",12
"""2005-9""","""SN""","""Homo sapiens""","""Mammalia""",8
"""2005-9""","""MX""","""Homo sapiens""","""Mammalia""",6
"""2005-9""","""ZA""","""Homo sapiens""","""Mammalia""",6
"""2005-9""","""PH""","""Homo sapiens""","""Mammalia""",3
"""2005-9""","""NC""","""Homo sapiens""","""Mammalia""",2
"""2005-8""","""RU""","""Aves""","""Aves""",29021
"""2006-1""","""JP""","""Homo sapiens""","""Mammalia""",10056
"""2006-1""","""CN""","""Homo sapiens""","""Mammalia""",8901
"""2005-9""","""RU""","""Aves""","""Aves""",44
"""2006-1""","""FR""","""Homo sapiens""","""Mammalia""",840
"""2006-1""","""US""","""Homo sapiens""","""Mammalia""",630
"""2006-1""","""NO""","""Homo sapiens""","""Mammalia""",544
"""2006-1""","""ZA""","""Homo sapiens""","""Mammalia""",288
"""2006-1""","""ZW""","""Homo sapiens""","""Mammalia""",280
"""2006-1""","""PT""","""Homo sapiens""","""Mammalia""",270
"""2006-1""","""SE""","""Homo sapiens""","""Mammalia""",255
"""2006-1""","""MG""","""Homo sapiens""","""Mammalia""",183
"""2006-1""","""MN""","""Homo sapiens""","""Mammalia""",174
"""2006-1""","""EG""","""Homo sapiens""","""Mammalia""",172
"""2006-1""","""TN""","""Homo sapiens""","""Mammalia""",156
"""2006-1""","""LV""","""Homo sapiens""","""Mammalia""",150
"""2006-1""","""TR""","""Homo sapiens""","""Mammalia""",140
"""2006-1""","""IL""","""Homo sapiens""","""Mammalia""",135
"""2006-1""","""IT""","""Homo sapiens""","""Mammalia""",115
"""2006-1""","""NG""","""Aves""","""Aves""",137380
"""2006-1""","""GR""","""Homo sapiens""","""Mammalia""",75
"""2006-1""","""CZ""","""Homo sapiens""","""Mammalia""",75
"""2006-1""","""CH""","""Homo sapiens""","""Mammalia""",45
"""2006-1""","""BD""","""Homo sapiens""","""Mammalia""",38
"""2006-1""","""PE""","""Homo sapiens""","""Mammalia""",32
"""2006-1""","""TH""","""Homo sapiens""","""Mammalia""",27
"""2006-1""","""TR""","""Aves""","""Aves""",1998
"""2006-1""","""MX""","""Homo sapiens""","""Mammalia""",18
"""2006-1""","""DE""","""Homo sapiens""","""Mammalia""",16
"""2006-1""","""DK""","""Homo sapiens""","""Mammalia""",16
"""2006-1""","""FI""","""Homo sapiens""","""Mammalia""",16
"""2006-1""","""ES""","""Homo sapiens""","""Mammalia""",12
"""2006-1""","""PH""","""Homo sapiens""","""Mammalia""",9
"""2006-1""","""UA""","""Aves""","""Aves""",78
"""2006-1""","""VE""","""Homo sapiens""","""Mammalia""",6
"""2006-1""","""LU""","""Homo sapiens""","""Mammalia""",6
"""2006-1""","""CO""","""Homo sapiens""","""Mammalia""",6
"""2006-1""","""BR""","""Homo sapiens""","""Mammalia""",6
"""2006-1""","""AU""","""Homo sapiens""","""Mammalia""",4
"""2006-1""","""IS""","""Homo sapiens""","""Mammalia""",4
"""2006-1""","""RO""","""Homo sapiens""","""Mammalia""",3
"""2006-1""","""MY""","""Homo sapiens""","""Mammalia""",3
"""2006-1""","""AR""","""Homo sapiens""","""Mammalia""",2
"""2006-1""","""CL""","""Homo sapiens""","""Mammalia""",2
"""2006-1""","""NC""","""Homo sapiens""","""Mammalia""",2
"""2006-1""","""RO""","""Aves""","""Aves""",26
"""2006-1""","""HK""","""Aves""","""Aves""",9
"""2006-10""","""CN""","""Homo sapiens""","""Mammalia""",1332
"""2006-10""","""PH""","""Homo sapiens""","""Mammalia""",712
"""2006-10""","""MG""","""Homo sapiens""","""Mammalia""",426
"""2006-10""","""TH""","""Homo sapiens""","""Mammalia""",309
"""2006-10""","""CL""","""Homo sapiens""","""Mammalia""",216
"""2006-10""","""AR""","""Homo sapiens""","""Mammalia""",198
"""2006-10""","""MX""","""Homo sapiens""","""Mammalia""",104
"""2006-10""","""IT""","""Homo sapiens""","""Mammalia""",99
"""2006-10""","""KH""","""Homo sapiens""","""Mammalia""",45
"""2006-10""","""CO""","""Homo sapiens""","""Mammalia""",40
"""2006-10""","""CA""","""Homo sapiens""","""Mammalia""",28
"""2006-10""","""MN""","""Homo sapiens""","""Mammalia""",24
"""2006-10""","""SV""","""Homo sapiens""","""Mammalia""",16
"""2006-10""","""PE""","""Homo sapiens""","""Mammalia""",14
"""2006-10""","""NC""","""Homo sapiens""","""Mammalia""",10
"""2006-10""","""MA""","""Homo sapiens""","""Mammalia""",10
"""2006-10""","""TR""","""Homo sapiens""","""Mammalia""",8
"""2006-10""","""AU""","""Homo sapiens""","""Mammalia""",8
"""2006-10""","""SE""","""Homo sapiens""","""Mammalia""",6
"""2006-10""","""MY""","""Homo sapiens""","""Mammalia""",6
"""2006-10""","""CR""","""Homo sapiens""","""Mammalia""",6
"""2006-10""","""JP""","""Homo sapiens""","""Mammalia""",4
"""2006-10""","""IL""","""Homo sapiens""","""Mammalia""",3
"""2006-10""","""BR""","""Homo sapiens""","""Mammalia""",3
"""2006-10""","""US""","""Homo sapiens""","""Mammalia""",2
"""2006-10""","""EG""","""Homo sapiens""","""Mammalia""",2
