uq
"""BR-Blastocerus dichotomus-Dermacentor nitens"""
"""BR-Blastocerus dichotomus-Dermatobia hominis"""
"""BR-Blastocerus dichotomus-Ehrlichia chaffeensis"""
"""BR-Blastocerus dichotomus-Rhipicephalus microplus"""
"""IN-Bos frontalis-Bovine coronavirus"""
"""IN-Bos gaurus-Mycobacterium avium subsp. paratuberculosis"""
"""IN-Bos grunniens-Foot-and-mouth disease virus"""
"""NP-Boselaphus tragocamelus-Dermacentor auratus"""
"""BR-Brachyteles arachnoides-Plasmodium brasilianum"""
"""BR-Brachyteles arachnoides-Plasmodium simium"""
"""BR-Brachyteles arachnoides-Strongyloides cebus"""
"""BR-Brachyteles arachnoides-Brachyteles"""
"""PE-Plecturocebus brunneus-Chilomastix mesnili"""
"""BR-Plecturocebus brunneus-Plasmodium brasilianum"""
"""CO-Callicebus ornatus-Trypanosoma minasense"""
"""BR-Cheracebus torquatus-Plasmodium brasilianum"""
"""BR-Callithrix penicillata-Yellow fever virus"""
"""BR-Cebuella pygmaea-Trypanosoma cruzi"""
"""PE-Cebuella pygmaea-Trypanosoma minasense"""
"""US-Callorhinus ursinus-Contracaecum osculatum"""
"""US-Callorhinus ursinus-Corynosoma obtuscens"""
"""US-Callorhinus ursinus-Corynosoma strumosum"""
"""US-Callorhinus ursinus-Corynosoma validum"""
"""US-Callorhinus ursinus-Escherichia coli"""
"""US-Callorhinus ursinus-Hafnia alvei"""
"""US-Callorhinus ursinus-Orthohalarachne attenuata"""
"""US-Callorhinus ursinus-Orthohalarachne diminuata"""
"""US-Callorhinus ursinus-Parafilaroides decorus"""
"""US-Callorhinus ursinus-Uncinaria lucasi"""
"""KE-Camelus dromedarius-Trypanosoma simiae"""
"""ZW-Canis adustus-Lyssavirus rabies"""
"""ZW-Canis adustus-Canine adenovirus 1"""
"""UG-Canis adustus-Canine morbillivirus"""
"""ZW-Canis adustus-Canine parvovirus"""
"""UG-Canis adustus-Trichinella spiralis"""
"""GR-Canis aureus-Alaria alata"""
"""IR-Canis aureus-Ancylostoma caninum"""
"""GR-Canis aureus-Ancylostoma caninum"""
"""IR-Canis aureus-Ctenocephalides canis"""
"""TN-Canis aureus-Dipylidium caninum"""
"""IR-Canis aureus-Dipylidium caninum"""
"""IR-Canis aureus-Dirofilaria immitis"""
"""TN-Canis aureus-Echinococcus granulosus"""
"""IR-Canis aureus-Echinococcus granulosus"""
"""IR-Canis aureus-Leishmania infantum"""
"""ET-Canis aureus-Lyssavirus rabies"""
"""IR-Canis aureus-Mesocestoides lineatus"""
"""IR-Canis aureus-Canis"""
"""IR-Canis aureus-Pulex irritans"""
"""IR-Canis aureus-Spirocerca lupi"""
"""IR-Canis aureus-Taenia hydatigena"""
"""GR-Canis aureus-Taenia pisiformis"""
"""IR-Canis aureus-Toxocara canis"""
"""GR-Canis aureus-Toxocara canis"""
"""IR-Canis aureus-Uncinaria stenocephala"""
"""GR-Canis aureus-Uncinaria stenocephala"""
"""BG-Canis aureus-Yersinia enterocolitica"""
"""BG-Canis aureus-Yersinia pseudotuberculosis"""
"""CA-Canis latrans-Alaria americana"""
"""US-Canis latrans-Alaria americana"""
