Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
202955,Mortality/Morbidity,TRUE,1,12/23/22,12/23/22,United States,Kansas,"Wabaunsee County, KS",American Crow,Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (not otherwise specified) suspect
202945,Mortality/Morbidity,TRUE,1,1/3/23,1/3/23,United States,South Carolina,"Clarendon County, SC",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202944,Mortality/Morbidity,TRUE,5,12/15/22,12/15/22,United States,North Carolina,"Brunswick County, NC",Brown Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202943,Mortality/Morbidity,TRUE,5,12/21/22,12/21/22,United States,Kansas,"Marion County, KS",Greater White-fronted Goose; Gadwall; Mallard,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202942,Mortality/Morbidity,TRUE,1,12/20/22,12/20/22,United States,North Carolina,"Hyde County, NC",Brown Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202939,Mortality/Morbidity,TRUE,1,12/28/22,12/28/22,United States,North Carolina,"Jones County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202938,Mortality/Morbidity,TRUE,2,12/21/22,12/21/22,United States,North Carolina,"Dare County, NC",Bufflehead,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202937,Mortality/Morbidity,TRUE,2,12/30/22,12/30/22,United States,North Carolina,"Dare County, NC",Brown Pelican,"Highly Pathogenic Avian Influenza (AI virus H5N1); Nutritional Deficiency; Parasitism (Nematode, not otherwise specified)"
202936,Mortality/Morbidity,TRUE,1,12/30/22,12/30/22,United States,North Carolina,"Camden County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202935,Mortality/Morbidity,TRUE,1,12/30/22,12/30/22,United States,Kansas,"Osborne County, KS",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202934,Mortality/Morbidity,TRUE,1,12/20/22,12/20/22,United States,Wisconsin,"Wood County, WI",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202933,Mortality/Morbidity,TRUE,1,1/3/23,1/3/23,United States,Georgia,"Peach County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202932,Mortality/Morbidity,TRUE,1,12/29/22,12/29/22,United States,Tennessee,"Hamblen County, TN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202925,Mortality/Morbidity,TRUE,1,12/10/22,12/10/22,United States,North Carolina,"Washington County, NC",Tundra Swan,Highly Pathogenic Avian Influenza (AI virus H5N1)
202923,Mortality/Morbidity,TRUE,125,12/14/22,1/25/23,United States,California,"Imperial County, CA",Snow Goose; Unidentified Duck or Goose; Ross' Goose; American Kestrel,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202915,Mortality/Morbidity,TRUE,1,12/4/22,12/6/22,United States,Florida,"Bay County, FL",Bufflehead,Emaciation (starvation); Highly Pathogenic Avian Influenza (AI virus H5N1)
202914,Mortality/Morbidity,TRUE,1,12/6/22,12/6/22,United States,Kansas,"Finney County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202912,Mortality/Morbidity,TRUE,37,12/6/22,12/6/22,United States,North Carolina,"Hyde County, NC",Double-crested Cormorant; Great Black-backed Gull; Herring Gull,Aspergillosis; Highly Pathogenic Avian Influenza (AI virus H5N1)
202909,Mortality/Morbidity,TRUE,145,11/15/22,,United States,California,"Merced County, CA; Stanislaus County, CA",Ross' Goose; Snow Goose; American White Pelican; American Coot; Greater White-fronted Goose; Unidentified Gull; Aleutian Cackling  Goose; Great Egret; Unidentified Sandhill Crane; Northern Pintail,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202905,Mortality/Morbidity,TRUE,1,12/2/22,12/2/22,United States,Kansas,"Mitchell County, KS",Cooper's Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202890,Mortality/Morbidity,TRUE,22,12/4/22,12/4/22,United States,North Carolina,"Guilford County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202889,Mortality/Morbidity,TRUE,1,11/27/22,11/27/22,United States,Kansas,"Douglas County, KS",Red-tailed Hawk,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
202888,Mortality/Morbidity,TRUE,11,11/1/22,12/5/22,United States,Arkansas,"Chicot County, AR; Cleburne County, AR; Craighead County, AR; Greene County, AR; Poinsett County, AR; Lafayette County, AR; Saline County, AR",Snow Goose; Greater White-fronted Goose; Red-tailed Hawk; Northern Pintail; Ross' Goose; Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect; Undetermined
202887,Mortality/Morbidity,TRUE,1,11/17/22,11/17/22,United States,Arkansas,"Grant County, AR",Bald Eagle,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
